common_name,latin_name,cat_safe
Achira,Canna edulis,true
Acorn Squash,Cucurbita pepo,true
African Daisy,Gerbera jamesonii,true
African Violet,Saintpaulia spp.,true
Algaroba,Prosopis limensis,true
Aluminum Plant,Pilea cadieri,true
Alumroot,Heuchera sanguinea,true
Alyssum,Alyssum spp.,true
American Rubber Plant,Peperomia obtusifolia,true
Amur Maple,Acer ginnala,true
Anthericum Comosum,Chlorophytum comosum,true
Antirrhinum Multiflorum,Antirrhinum multiflorum,true
Arabian Gentian,Exacum affine,true
Areca Palm,Dypsis lutescens,true
Aregelia,Neoregalia spp.,true
Artillery Plant,Pilea microphylla,true
Aspidium falcatum,Cyrtomium falcatum,true
Australian Pine,Araucaria heterophylla,true
Autumn Olive,Eleagnus spp.,true
Baby Rubber Plant,Peperomia obtusifolia,true
Baby’s Breath,Gypsophila elegans,true
Baby’s Tears,Hypoestes phyllostachya,true
Bachelors Buttons,Centaurea cyanus,true
Ball Fern,Davallia spp.,true
Bamboo,Phyllostachys aurea,true
Bamboo Palm,Chamaedorea elegans,true
Bamboo Vine,Smilax laurifolia,true
Banana,Musa acuminata,true
Banana Squash,Cucurbita maxima var. banana,true
Barberton Daisy,Gerbera jamesonii,true
Barnaby's Thistle,Centaurea solstitialis,true
Basil,Ocimum basilicum,true
Beets,Beta vulgaris,true
Begonia (climbing),Cissus dicolor,true
Begonia (trailing),Pellionia daveauana,true
Belmore Sentry Palm,Howea belmoreana,true
Big Shagbark Hickory,Carya laciniosa,true
Big Shellbark Hickory,Carya laciniosa,true
Bitter Pecan,Carya aquatica,true
Bitternut,Carya cordiformis,true
Black Haw,Viburnum lentago,true
Black Hawthorn,Crataegus douglasii,true
Black Walnut,Juglans nigra,true
Blackjack Pine,Pinus ponderosa,true
Blaspheme Vine,Smilax laurifolia,true
Bloodleaf,Iresine herbstii,true
Blooming Sally,Epilobium angustifolium,true
Blue Bead,Clintonia borealis,true
Blue Daisy,Felicia amelloides,true
Blue Echeveria,Echeveria glauca,true
Blue Eyed Daisy,Arctotis stoechadifolia,true
Blue-dicks,Dichelostemma pulchellum,true
Blue-dicks 2,Hookera pulchella,true
Blue-dicks 3,Brodiaea pulchella,true
Blue-eyed African Daisy,Arctotis stoechadifolia,true
Bluebottle,Centaurea cyanus,true
Blunt Leaf Peperomia,Peperomia obtusifolia,true
Blushing Bromeliad,Neoregalia spp.,true
Bold Sword Fern,Nephrolepis biserrata,true
Boston Fern,Nephrolepis exalta bostoniensis,true
Bottle Palm,Beaucarnea recurvata,true
Bottle Palm 2,Nolina tuberculata,true
Bottlebrush,Callistemon species,true
Brazilian Orchid,Sophronitis spp.,true
Bride's Bonnet,Clintonia uniflora,true
Bristly Greenbrier,Smilax hispida,true
Brodiaea Pulchella,Dichelostemma pulchellum,true
Broom Hickory,Carya laciniosa,true
Bullbrier,Smilax rotundifolia,true
Bur Gourd,Cucumis anguria,true
Burro's Tail,Sedum morganianum,true
Buttercup Squash,Cucurbita maxima cv buttercup,true
Butterfly Ginger,Hedychium coronarium,true
Butternut Squash,Cucurbita maxima cv butternut,true
Buzzy Lizzie,Impatiens spp.,true
Caeroba,Calathea insignis,true
Calathea,Calathea spp.,true
Calathea Lancifolia 2,Maranta insignis,true
Calathea Lancifolia 3,Calathea insignis,true
California Pitcher Plant,Darlingtonia californica,true
Callistemon Brachyandrus,Callistemon species,true
Callistemon citrinus,Callistemon citrinus,true
Callistemon viminalis,Callistemon viminalis,true
Calochortus nuttalli,Calochortus spp.,true
Camellia,Camellia japonica,true
Canada Hemlock,Tsuga canadensis,true
Canary Date Palm,Phoenix canariensis,true
Candle Plant,Plectranthus coleoides,true
Candycorn Plant,Hypocyrta nummularia,true
Cane Palm,Dypsis lutescens,true
Canna Lily,Canna generalis,true
Canterbury-bell,Gloxinia perennis,true
Cape Marigold,Dimorphotheca pluvialis,true
Cape Primrose,Streptocarpus spp.,true
Carob,Ceratonia siliqua,true
Caroba,Jacaranda procera,true
Carolina Hemlock,Tsuga caroliniana,true
Carrion Flower,Smilax herbacea,true
Carrion Flower 2,Stapelia hirsata,true
Carrot Fern,Onychium japonica,true
Carrot Flower,Daucus carota var. sativa,true
Casaba Melon,Cucumis melo,true
Cast Iron Plant,Aspidistra elatior,true
Cat Brier,Smilax glabra,true
Cat Ear,Calochortus spp.,true
Cattleya Labiata,Cattleya labiata,true
Celosia Globosa,Celosia globosa,true
Celosia Plumosa,Celosia plumosa,true
Celosia Spicata,Celosia spicata,true
Chamaedorea,Chamaedorea elegans,true
Chaparral,Larrea tridentata,true
Chenille Plant,Acalypha hispida,true
Chervil,Anthriscus cerefolium,true
Chestnut,Castanea dentata,true
Chicken-Gizzard,Iresine herbstii,true
Chickens and Hens,Echeveria elegans,true
Chin-lao-shu,Smilax glabra,true
China Aster,Callistephus chinensis,true
China Root,Smilax glabra,true
Chinese Plumbago,Ceratostigma willmottianum,true
Chlorophytum,Anthericum comosum,true
Chlorophytum bichetti,Chlorophytum bichetti,true
Chocolate Soldier,Episcia dianthiflora,true
Christmas Cactus,Schlumbergera bridgesii,true
Christmas Dagger,Polystichum acrostichoides,true
Christmas Orchid,Cattleya trianaei,true
Christmas Palm,Veitchia merrillii,true
Cilantro,Coriandrum sativum,true
Cinnamon,Cinnamomum zeylanicum,true
Cinquefoil,Potentilla spp.,true
Cirrhopetalum,Bulbophyllum appendiculatum,true
Clearweed,Pilea pumila,true
Cliff Brake,Pellaea rotundifolia,true
Club Moss,Selaginella kraussiana,true
Cocks Comb,Amaranthus hypochondriacus,true
Cocktail Orchid,Cattleya forbesii,true
Collinia Elegans,Chamaedorea elegans,true
Common Camellia,Camellia japonica; Thea japonica,true
Common Catbrier,Smilax rotundifolia,true
Common Garden Canna,Canna generalis,true
Common Greenbrier,Smilax rotundifolia,true
Common Snapdragon,Antirrhinum majus,true
Common Staghorn Fern,Platycerium bifurcatum,true
Confederate Jasmine,Trachelospermum jasminoides,true
Coolwort,Pilea pumila,true
Copper Rose,Echeveria multicaulis,true
Copperleaf,Acalypha godseffiana,true
Coral Bells,Heuchera sanguinea,true
Coreopsis,Coreopsis spp.,true
Cornflower,Centaurea cyanus,true
Crape Myrtle,Lagerstroemia indica,true
Creeping Charlie,Pilea nummulariifolia,true
Creeping Gloxinia,Asarina erubescens,true
Creeping Mahonia,Mahonia aquifolium,true
Creeping Pilea,Pilea nummulariifolia,true
Creeping Rubus,Rubus pedatus,true
Creeping Zinnia,Sanvitalia spp.,true
Crepe Myrtle,Lagerstroemia indica,true
Crimson Bottlebush,Callistemon species,true
Crimson Cup,Neoregalia spp.,true
Crisped Feather Fern,Nephrolepis biserrata,true
Crossandra,Crossandra species,true
Cucumber,Cucumis sativus,true
Cushion Aloe,Aloe retusa,true
Cushion Moss,Selaginella kraussiana,true
Cyrtudeira,Episcia reptans,true
Dainty Rabbits-Foot Fern,Davallia fejeensis,true
Dallas Fern,Nephrolepis biserrata,true
Dancing Doll Orchid,Oncidium flexuosum,true
Desert Trumpet,Eriogonium inflatum,true
Dichelostemma,Dichelostemma species,true
Dichorisandra Reginae,Dichorisandra reginae,true
Dill,Anethum graveolena,true
Dinteranthus,Dinteranthus vanzylii,true
Duffii Fern,Nephrolepsis cordifolia 'duffii',true
Dwarf Date Palm,Phoenix acaulis,true
Dwarf Feather Palm,Nephrolepis exalta,true
Dwarf Palm,Chamaedorea elegans,true
Dwarf Rose-Stripe Star,Cryptanthus bivattus minor,true
Dwarf Royal Palm,Veitchia merillii,true
Dwarf Whitman Fern,Nephrolepsis cordifolia plumosa,true
Earth Star,Cryptanthus bivattus minor,true
Easter Cattleya,Cattleya mossiae,true
Easter Daisy,Townsendia sericea,true
Easter Lily Cactus,Echinopsis multiplex,true
Easter Orchid,Cattleya mossiae,true
Edible Banana,Musa acuminata,true
Emerald Ripple Peperomia,Peperomia caperata,true
English Hawthorn,Crataegus laevigata,true
Episcia,Episcia dianthiflora,true
Fairy Fountain,Celosia cristata,true
False Aralia,Dizygotheca elegantissima,true
Fan Tufted Palm,Rhapis flabelliformis,true
Feather Palm,Nephrolepis exaltata,true
Fennel,Foeniculum vulgare,true
Fiery Reed Orchid,Epidendrum ibaguense,true
Fig Leaf Gourd,Cucurbita ficifolia,true
Figleaf Palm,Fatsia japonica,true
Fingernail Plant,Neoregelia spectabilis,true
Fire Weed,Epilobium angustifolium,true
Fish Tail Fern,Cyrtomium falcatum,true
Flame African Violet,Episcia reptans,true
Flame of the Woods,Ixora coccinea,true
Florida Butterfly Orchid,Epidendrum tampense,true
Florida Butterfly Orchid,Encyclia tampensis,true
Fluffy Ruffles,Nephrolepsis exalta,true
Forster Sentry Palm,Howea forsteriana,true
Fortunes Palm,Trachycarpus fortunei,true
Freckle Face,Hypoestes phyllostachya,true
Friendship Plant,Pilea involucrata,true
Garden Marigold,Calendula officinalis,true
Garden Snapdragon,Antirrhinum majus,true
Gerber Daisy,Gerbera jamesonii,true
German Violet,Exacum affine,true
Gherkins,Cucumis sativus,true
Ghost Leafless Orchid,Polyrrhiza lindenii,true
Ghost Plant,Sedum weinbergii,true
Giant Aster,Townsendia sericea,true
Giant Holly Fern,Ploystichum munitum,true
Giant Touch-Me-Not,Impatiens spp.,true
Giant White Inch Plant,Albiflora spp.,true
Globe Thistle,Echinops spp.,true
Gloxinia,Sinningia speciosa,true
Gold Bloom,Calendula officinalis,true
Gold-Fish Plant,Hypocyrta nummularia,true
Golden Bells,Oleaceae,true
Golden Butterfly Palm,Dypsis lutescens,true
Golden Lace Orchid,Haemaria discolor,true
Golden Shower Orchid,Oncidium sphacelatum,true
Good Luck Palm,Chamaedorea elegans,true
Grape Hyacinth,Muscari armeniacum,true
Grape Ivy,Cissus rhombifolia,true
Great Willow Herb,Epilobium angustifolium,true
Green Ripple Peperomia,Peperomia caperata,true
Greenbrier,Smilax glabra,true
Hagbrier,Smilax hispida,true
Hardy Baby Tears,Sedum album,true
Hardy Gloxinia,Incarvillea delavayi,true
Hare Fern,Davallia spp.,true
Haworthia,Haworthia species,true
Haws,Crataegus species,true
Haws Apple,Crataegus species,true
Hawthorn,Crataegus species,true
Hedgehog Gourd,Cucumis dipsaceus,true
Hellfetter,Smilax hispida,true
Hemlock Tree,Tsuga species,true
Hen and Chickens Fern,Asplenium bulbiferum,true
Hens and Chickens,Echeveria elegans,true
Hibiscus,Hibiscus syriacus,true
Hindu Rope Plant,Hoya carnosa 'krinkle kurl',true
Hoary Alyssum,Berteroa incana,true
Holligold,Calendula officinalis,true
