common_name,latin_name,cat_safe
Adam-and-Eve,Arum maculatum,false
African Wonder Tree,Ricinus communis,false
Alocasia,Alocasia spp.,false
Aloe,Aloe vera,false
Amaryllis,Amaryllis spp.,false
Ambrosia Mexicana,Chenopodium botrys,false
American Bittersweet,Celastrus scandens,false
American Holly,Ilex opaca,false
American Mandrake,Podophyllum peltatum,false
American Yew,Taxus canadensus,false
Andromeda Japonica,Pieris japonica,false
Angelica Tree,Aralia spinosa,false
Apple,Malus sylvestrus,false
Apricot,Prunus armeniaca,false
Arrow-Head Vine,Syngonium podophyllum,false
Arum,Arum maculatum,false
Arum Lily,Zantedeschia aethiopica,false
Asian Lily,Lilium asiatica,false
Asparagus Fern,Asparagus densiflorus cv sprengeri,false
Australian Ivy Palm,Brassaia actinophylla,false
Autumn Crocus,Colchicum autumnale,false
Azalea,Rhododendron spp,false
Baby Doll Ti Plant,Cordyline terminalis,false
Barbados Aloe,Aloe barbadensis,false
Barbados Lily,Hippeastrum spp.,false
Barbados Pride,Caesalpinia pulcherrima,false
Barbados Pride 2,Poinciana gilliesii,false
Bay Laurel,Laurus nobilis,false
Bead Tree,Melia azedarach,false
Begonia,Begonia spp.,false
Bergamot Orange,Citrus Aurantium,false
Bird of Paradise,Caesalpinia gilliesii,false
Bird of Paradise 2,Poinciana gilliesii,false
Bird of Paradise Flower,Strelitzia reginae,false
Bird's Tongue Flower,Strelitzia reginae,false
Bishop’s Weed,Ammi majus,false
Bitter Root,Apocynum androsaemifolium,false
Black Calla,Arum palestinum,false
Black Cherry,Prunus serotina,false
Black Laurel,Leucothoe spp.,false
Black Nightshade,Solanum nigrum,false
Bobbins,Arum maculatum,false
Bog Laurel,Kalmia poliifolia,false
Borage,Borage officinalis,false
Boxwood,Buxus spp.,false
Branching Ivy,Hedera helix,false
Brazilwood,Poinciana gilliesii,false
Bread and Butter Plant,Coleus ampoinicus,false
Brunfelsia,Brunfelsia species,false
Buckeye,Aesculus spp,false
Buckwheat,Fagopyrum spp.,false
Buddhist Pine,Podocarpus macrophylla,false
Burning Bush,Euonymus atropurpurea,false
Buttercup,Ranunculus spp.,false
Butterfly Iris,Iris spuria,false
Caladium,Caladium hortulanum,false
Calamondin Orange,Citrus mitis,false
California Ivy,Hedera helix,false
Calla Lily,Zantedeschia aethiopica,false
Cape Jasmine,Gardenia jasminoides,false
Caraway,Carum carvi,false
Cardboard Cycad,Zamia furfuracea,false
Cardboard Palm,Zamia spp.,false
Cardinal Flower,Lobelia cardinalis,false
Carnation,Dianthus caryophyllus,false
Castor Bean Plant,Ricinus communis,false
Catnip,Nepeta cataria,false
Ceriman,Monstera deliciosa,false
Chamomile,Anthemis nobilis,false
Chandelier Plant,Kalanchoe tubiflora,false
Charming Dieffenbachia,Dieffenbachia amoena,false
Cherry,Prunus spp.,false
Chinaberry Tree,Melia azedarach,false
Chinese Evergreen,Aglaonema modestum,false
Chinese Jade,Crassula arborescens,false
Chives,Allium schoenoprasum,false
Choke Cherry,Prunus virginiana,false
Christmas Rose,Helleborus niger,false
Chrysanthemum,Chrysanthemum spp.,false
Clematis,Clematis spp.,false
Climbing Bittersweet,Celastrus scandens,false
Climbing Lily,Gloriosa superba,false
Climbing Nightshade,Solanum dulcamara,false
Clivia Lily,Clivia spp.,false
Clusia Rosea,Clusia major,false
Coffee Tree,Polyscias guilfoylei,false
Coleus,Coleus ampoinicus,false
Common Privet,Ligustrum vulgare,false
Coontie Palm,Zamia pumila,false
Cordatum,Philodendron oxycardium,false
Corn Plant,Dracaena fragrans,false
Cornstalk Plant,Dracaena fragrans,false
Cow parsnip,Heracleum maximum,false
Cowbane,Cicuta species,false
Cuckoo-pint,Arum maculatum,false
Cutleaf Philodendron,Monstera deliciosa,false
Cycads,Cycas and Zamia species,false
Cyclamen,Cyclamen spp,false
Daffodil,Narcissus spp,false
Dahlia,Dahlia species,false
Daisy,Chrysanthemum species,false
Day Lilies,Hemerocallis spp.,false
Deadly Nightshade,Solanum spp,false
Desert Azalea,Adenium obesum,false
Desert Rose,Adenium obesum,false
Devil's Backbone,Kalanchoe tubiflora,false
Devils Ivy,Epipremnum aureum,false
Dieffenbachia,Dieffenbachia,false
Dock,Rumex sp.,false
Dog Daisy,Achillea millefolium,false
Dog Hobble,Leucothoe sp.,false
Dogbane Hemp,Apocynum spp.,false
Dracaena,Dracaena spp.,false
Dumbcane,Dieffenbachia,false
Dwarf Poinciana,Caesalpinia pulcherrima,false
Easter Lily,Lilium longiflorum,false
Easter Rose,Helleborus niger,false
Eastern Star,Dianthus spp.,false
Elephant Ears,Colocasia esculenta,false
Elephant Ears,Caladium hortulanum,false
Elephant-Ear Begonia,Begonia scharfii,false
Emerald Feather,Asparagus densiflorus,false
English Holly,Ilex aquifolium,false
English Ivy,Hedera helix,false
English Yew,Taxus baccata,false
Epazote,Chenopodium ambrosioides,false
Eucalyptus,Eucalyptus species,false
European Bittersweet,Solanum dulcamara,false
European Holly,Ilex aquifolium,false
Everlasting Pea,Lathyrus latifolius,false
Exotica,Dieffenbachia amoena,false
False Bittersweet,Celastrus scandens,false
False Queen Anne’s Lace,Ammi majus,false
Feather Geranium,Ambrosia mexicana,false
Fern Palm,Zamia spp.,false
Fetter Bush,Leucothoe spp.,false
Fetterbush,Lyonia spp.,false
Fiddle-Leaf,Philodendron bipennifolium,false
Fig,Ficus benjamina,false
